Team,Year,Total_Rest_Days,Total_Distance_Traveled,Total_Points_For,Total_Points_Allowed,Total_Yards,Rush_Yards,Pass_Yards,Total_Opp_Yards,Opp_Rush_Yards,Opp_Pass_Yards,Win_Percentage,PF_Per_Game,PA_Per_Game,Yds_Per_game,Rush_Yds_Per_Game,Pass_YDs_Per_game,Opp_Yds_Per_Game,Opp_Rush_Yds_Per_game,Opp_Pass_Yds_Per_game,PD,Yds_DIff,PD_Per_Game,Yds_Diff_Per_Game,Playoff,SOS
Arizona Cardinals,2015,122 days,11709.95494,489,313,6533,1917,4616,5147,1460,3687,0.8125,30.5625,19.5625,408.3125,119.8125,288.5,321.6875,91.25,230.4375,176.0,1386.0,11.0,86.625,ConfChamp,0.472656
Arizona Cardinals,2016,122 days,10602.45904,418,362,5868,1732,4136,4883,1518,3365,0.4375,26.125,22.625,366.75,108.25,258.5,305.1875,94.875,210.3125,56.0,985.0,3.5,61.5625,None,0.457031
Arizona Cardinals,2017,122 days,10284.25879,295,361,5026,1386,3640,4973,1432,3541,0.5,18.4375,22.5625,314.125,86.625,227.5,310.8125,89.5,221.3125,-66.0,53.0,-4.125,3.3125,None,0.488281
Arizona Cardinals,2018,122 days,7852.459252,225,425,3865,1342,2523,5741,2479,3262,0.1875,14.0625,26.5625,241.5625,83.875,157.6875,358.8125,154.9375,203.875,-200.0,-1876.0,-12.5,-117.25,None,0.523438
Arizona Cardinals,2019,122 days,10868.19035,361,442,5467,1990,3477,6432,1922,4510,0.3125,22.5625,27.625,341.6875,124.375,217.3125,402.0,120.125,281.875,-81.0,-965.0,-5.0625,-60.3125,None,0.527344
Arizona Cardinals,2020,122 days,11260.87118,410,367,6153,2237,3916,5631,2008,3623,0.5,25.625,22.9375,384.5625,139.8125,244.75,351.9375,125.5,226.4375,43.0,522.0,2.6875,32.625,None,0.0234375
Atlanta Falcons,2015,121 days,5128.173914,339,345,5985,1606,4379,5562,1680,3882,0.5,21.1875,21.5625,374.0625,100.375,273.6875,347.625,105.0,242.625,-6.0,423.0,-0.375,26.4375,None,0.480469
Atlanta Falcons,2016,122 days,9173.008976,540,406,6653,1928,4725,5939,1672,4267,0.6875,33.75,25.375,415.8125,120.5,295.3125,371.1875,104.5,266.6875,134.0,714.0,8.375,44.625,SuperBowl,0.476562
Atlanta Falcons,2017,122 days,6085.015811,353,315,5837,1847,3990,5094,1665,3429,0.625,22.0625,19.6875,364.8125,115.4375,249.375,318.375,104.0625,214.3125,38.0,743.0,2.375,46.4375,Division,0.542969
Atlanta Falcons,2018,125 days,4121.236319,414,423,6226,1573,4653,6152,1999,4153,0.4375,25.875,26.4375,389.125,98.3125,290.8125,384.5,124.9375,259.5625,-9.0,74.0,-0.5625,4.625,None,0.476562
Atlanta Falcons,2019,122 days,6780.5699,381,399,6075,1361,4714,5693,1775,3918,0.4375,23.8125,24.9375,379.6875,85.0625,294.625,355.8125,110.9375,244.875,-18.0,382.0,-1.125,23.875,None,0.542969
Atlanta Falcons,2020,122 days,6104.662637,396,414,5895,1532,4363,6374,1677,4697,0.25,24.75,25.875,368.4375,95.75,272.6875,398.375,104.8125,293.5625,-18.0,-479.0,-1.125,-29.9375,None,0.0507812
Baltimore Ravens,2015,122 days,10235.1202,328,401,5749,1478,4271,5398,1661,3737,0.3125,20.5,25.0625,359.3125,92.375,266.9375,337.375,103.8125,233.5625,-73.0,351.0,-4.5625,21.9375,None,0.507812
Baltimore Ravens,2016,122 days,3494.410161,343,321,5563,1463,4100,5154,1430,3724,0.5,21.4375,20.0625,347.6875,91.4375,256.25,322.125,89.375,232.75,22.0,409.0,1.375,25.5625,None,0.492188
Baltimore Ravens,2017,122 days,6271.3978,395,303,4886,1856,3030,5201,1780,3421,0.5625,24.6875,18.9375,305.375,116.0,189.375,325.0625,111.25,213.8125,92.0,-315.0,5.75,-19.6875,None,0.441406
Baltimore Ravens,2018,122 days,5763.584857,389,287,5999,2441,3558,4687,1327,3360,0.625,24.3125,17.9375,374.9375,152.5625,222.375,292.9375,82.9375,210.0,102.0,1312.0,6.375,82.0,WildCard,0.488281
Baltimore Ravens,2019,122 days,7777.669814,531,282,6521,3296,3225,4809,1494,3315,0.875,33.1875,17.625,407.5625,206.0,201.5625,300.5625,93.375,207.1875,249.0,1712.0,15.5625,107.0,Division,0.492188
Baltimore Ravens,2020,122 days,3168.714865,468,303,5810,3071,2739,5276,1740,3536,0.6875,29.25,18.9375,363.125,191.9375,171.1875,329.75,108.75,221.0,165.0,534.0,10.3125,33.375,Division,0.03125
Buffalo Bills,2015,122 days,4766.935473,379,359,5775,2432,3343,5702,1730,3972,0.5,23.6875,22.4375,360.9375,152.0,208.9375,356.375,108.125,248.25,20.0,73.0,1.25,4.5625,None,0.507812
Buffalo Bills,2016,122 days,9145.08855,399,378,5666,2630,3036,5712,2130,3582,0.4375,24.9375,23.625,354.125,164.375,189.75,357.0,133.125,223.875,21.0,-46.0,1.3125,-2.875,None,0.476562
Buffalo Bills,2017,122 days,6580.945591,302,359,4842,2017,2825,5682,1994,3688,0.5625,18.875,22.4375,302.625,126.0625,176.5625,355.125,124.625,230.5,-57.0,-840.0,-3.5625,-52.5,WildCard,0.492188
Buffalo Bills,2018,122 days,5058.578433,269,374,4778,1984,2794,4706,1839,2867,0.375,16.8125,23.375,298.625,124.0,174.625,294.125,114.9375,179.1875,-105.0,72.0,-6.5625,4.5,None,0.519531
