Week,Day,Date,Winner/tie,,Loser/tie,,PtsW,PtsL
WildCard,Sat,2018-01-06,Atlanta Falcons,@,Los Angeles Rams,boxscore,26,13
WildCard,Sat,2018-01-06,Tennessee Titans,@,Kansas City Chiefs,boxscore,22,21
WildCard,Sun,2018-01-07,Jacksonville Jaguars,,Buffalo Bills,boxscore,10,3
WildCard,Sun,2018-01-07,New Orleans Saints,,Carolina Panthers,boxscore,31,26
Division,Sat,2018-01-13,New England Patriots,,Tennessee Titans,boxscore,35,14
Division,Sat,2018-01-13,Philadelphia Eagles,,Atlanta Falcons,boxscore,15,10
Division,Sun,2018-01-14,Minnesota Vikings,,New Orleans Saints,boxscore,29,24
Division,Sun,2018-01-14,Jacksonville Jaguars,@,Pittsburgh Steelers,boxscore,45,42
ConfChamp,Sun,2018-01-21,New England Patriots,,Jacksonville Jaguars,boxscore,24,20
ConfChamp,Sun,2018-01-21,Philadelphia Eagles,,Minnesota Vikings,boxscore,38,7
SuperBowl,Sun,2018-02-04,Philadelphia Eagles,N,New England Patriots,boxscore,41,33
