,Projected,Actual
0,Lost or DNQ,Super Bowl Winners
1,Lost or DNQ,Super Bowl Winners
2,Lost or DNQ,Super Bowl Winners
3,Lost or DNQ,Super Bowl Winners
4,Lost or DNQ,Super Bowl Winners
5,Lost or DNQ,Super Bowl Winners
6,Lost or DNQ,Super Bowl Winners
7,Lost or DNQ,Super Bowl Winners
8,Lost or DNQ,Super Bowl Winners
9,Lost or DNQ,Super Bowl Winners
10,Lost or DNQ,Super Bowl Winners
11,Lost or DNQ,Super Bowl Winners
12,Lost or DNQ,Super Bowl Winners
13,Lost or DNQ,Super Bowl Winners
14,Lost or DNQ,Super Bowl Winners
15,Lost or DNQ,Super Bowl Winners
16,Lost or DNQ,Super Bowl Winners
17,Lost or DNQ,Super Bowl Winners
18,Lost or DNQ,Super Bowl Winners
19,Lost or DNQ,Super Bowl Winners
20,Lost or DNQ,Super Bowl Winners
21,Lost or DNQ,Super Bowl Winners
22,Lost or DNQ,Super Bowl Winners
23,Lost or DNQ,Super Bowl Winners
24,Lost or DNQ,Super Bowl Winners
25,Lost or DNQ,Super Bowl Winners
26,Lost or DNQ,Super Bowl Winners
27,Lost or DNQ,Super Bowl Winners
28,Lost or DNQ,Super Bowl Winners
29,Lost or DNQ,Super Bowl Winners
30,Lost or DNQ,Super Bowl Winners
31,Lost or DNQ,Lost or DNQ
32,Lost or DNQ,Super Bowl Winners
33,Lost or DNQ,Super Bowl Winners
34,Lost or DNQ,Super Bowl Winners
35,Lost or DNQ,Super Bowl Winners
36,Lost or DNQ,Lost or DNQ
37,Lost or DNQ,Super Bowl Winners
38,Lost or DNQ,Super Bowl Winners
39,Lost or DNQ,Super Bowl Winners
40,Lost or DNQ,Super Bowl Winners
41,Lost or DNQ,Super Bowl Winners
42,Lost or DNQ,Super Bowl Winners
43,Lost or DNQ,Super Bowl Winners
44,Lost or DNQ,Super Bowl Winners
45,Lost or DNQ,Super Bowl Winners
46,Lost or DNQ,Super Bowl Winners
47,Lost or DNQ,Super Bowl Winners
48,Lost or DNQ,Super Bowl Winners
49,Lost or DNQ,Super Bowl Winners
50,Lost or DNQ,Super Bowl Winners
51,Lost or DNQ,Super Bowl Winners
52,Lost or DNQ,Super Bowl Winners
53,Lost or DNQ,Super Bowl Winners
54,Lost or DNQ,Super Bowl Winners
55,Lost or DNQ,Super Bowl Winners
56,Lost or DNQ,Super Bowl Winners
57,Lost or DNQ,Super Bowl Winners
58,Lost or DNQ,Super Bowl Winners
59,Lost or DNQ,Super Bowl Winners
60,Lost or DNQ,Super Bowl Winners
61,Lost or DNQ,Super Bowl Winners
62,Lost or DNQ,Super Bowl Winners
63,Lost or DNQ,Super Bowl Winners
