,Team,Year,Projected,Actual
0,Arizona Cardinals,2021,Lost or DNQ,Lost or DNQ
1,Arizona Cardinals,2022,Lost or DNQ,Lost or DNQ
2,Atlanta Falcons,2021,Lost or DNQ,Lost or DNQ
3,Atlanta Falcons,2022,Lost or DNQ,Lost or DNQ
4,Baltimore Ravens,2021,Lost or DNQ,Lost or DNQ
5,Baltimore Ravens,2022,Lost or DNQ,Lost or DNQ
6,Buffalo Bills,2021,Lost or DNQ,Lost or DNQ
7,Buffalo Bills,2022,Lost or DNQ,Lost or DNQ
8,Carolina Panthers,2021,Lost or DNQ,Lost or DNQ
9,Carolina Panthers,2022,Lost or DNQ,Lost or DNQ
10,Chicago Bears,2021,Lost or DNQ,Lost or DNQ
11,Chicago Bears,2022,Lost or DNQ,Lost or DNQ
12,Cincinnati Bengals,2021,Lost or DNQ,Lost or DNQ
13,Cincinnati Bengals,2022,Lost or DNQ,Lost or DNQ
14,Cleveland Browns,2021,Lost or DNQ,Lost or DNQ
15,Cleveland Browns,2022,Lost or DNQ,Lost or DNQ
16,Dallas Cowboys,2021,Lost or DNQ,Lost or DNQ
17,Dallas Cowboys,2022,Lost or DNQ,Lost or DNQ
18,Denver Broncos,2021,Lost or DNQ,Lost or DNQ
19,Denver Broncos,2022,Lost or DNQ,Lost or DNQ
20,Detroit Lions,2021,Lost or DNQ,Lost or DNQ
21,Detroit Lions,2022,Lost or DNQ,Lost or DNQ
22,Green Bay Packers,2021,Lost or DNQ,Lost or DNQ
23,Green Bay Packers,2022,Lost or DNQ,Lost or DNQ
24,Houston Texans,2021,Lost or DNQ,Lost or DNQ
25,Houston Texans,2022,Lost or DNQ,Lost or DNQ
26,Indianapolis Colts,2021,Lost or DNQ,Lost or DNQ
27,Indianapolis Colts,2022,Lost or DNQ,Lost or DNQ
28,Jacksonville Jaguars,2021,Lost or DNQ,Lost or DNQ
29,Jacksonville Jaguars,2022,Lost or DNQ,Lost or DNQ
30,Kansas City Chiefs,2021,Lost or DNQ,Lost or DNQ
31,Kansas City Chiefs,2022,Lost or DNQ,Super Bowl Winners
32,Las Vegas Raiders,2021,Lost or DNQ,Lost or DNQ
33,Las Vegas Raiders,2022,Lost or DNQ,Lost or DNQ
34,Los Angeles Chargers,2021,Lost or DNQ,Lost or DNQ
35,Los Angeles Chargers,2022,Lost or DNQ,Lost or DNQ
36,Los Angeles Rams,2021,Lost or DNQ,Super Bowl Winners
37,Los Angeles Rams,2022,Lost or DNQ,Lost or DNQ
38,Miami Dolphins,2021,Lost or DNQ,Lost or DNQ
39,Miami Dolphins,2022,Lost or DNQ,Lost or DNQ
40,Minnesota Vikings,2021,Lost or DNQ,Lost or DNQ
41,Minnesota Vikings,2022,Lost or DNQ,Lost or DNQ
42,New England Patriots,2021,Lost or DNQ,Lost or DNQ
43,New England Patriots,2022,Lost or DNQ,Lost or DNQ
44,New Orleans Saints,2021,Lost or DNQ,Lost or DNQ
45,New Orleans Saints,2022,Lost or DNQ,Lost or DNQ
46,New York Giants,2021,Lost or DNQ,Lost or DNQ
47,New York Giants,2022,Lost or DNQ,Lost or DNQ
48,New York Jets,2021,Lost or DNQ,Lost or DNQ
49,New York Jets,2022,Lost or DNQ,Lost or DNQ
50,Philadelphia Eagles,2021,Lost or DNQ,Lost or DNQ
51,Philadelphia Eagles,2022,Lost or DNQ,Lost or DNQ
52,Pittsburgh Steelers,2021,Lost or DNQ,Lost or DNQ
53,Pittsburgh Steelers,2022,Lost or DNQ,Lost or DNQ
54,San Francisco 49ers,2021,Lost or DNQ,Lost or DNQ
55,San Francisco 49ers,2022,Lost or DNQ,Lost or DNQ
56,Seattle Seahawks,2021,Lost or DNQ,Lost or DNQ
57,Seattle Seahawks,2022,Lost or DNQ,Lost or DNQ
58,Tampa Bay Buccaneers,2021,Lost or DNQ,Lost or DNQ
59,Tampa Bay Buccaneers,2022,Lost or DNQ,Lost or DNQ
60,Tennessee Titans,2021,Lost or DNQ,Lost or DNQ
61,Tennessee Titans,2022,Lost or DNQ,Lost or DNQ
62,Washington Commanders,2021,Lost or DNQ,Lost or DNQ
63,Washington Commanders,2022,Lost or DNQ,Lost or DNQ
